股票代码,股票名称,持仓数量,成本价,行业分类,买入日期,备注
000001,平安银行,1000,15.20,银行,2026-01-15,核心持仓
600036,招商银行,800,32.50,银行,2026-02-20,价值投资
000858,五粮液,500,180.30,食品饮料,2026-03-10,消费龙头
002415,海康威视,300,35.80,电子,2026-03-25,科技股
600519,贵州茅台,200,1800.00,食品饮料,2026-01-10,核心资产
000333,美的集团,600,58.90,家用电器,2026-02-15,家电龙头
300750,宁德时代,400,210.50,电气设备,2026-03-05,新能源
600887,伊利股份,700,28.70,食品饮料,2026-02-28,消费股
601318,中国平安,900,45.60,非银金融,2026-01-20,保险龙头
000725,京东方A,1000,4.20,电子,2026-03-15,面板龙头
300059,东方财富,500,15.80,非银金融,2026-03-20,互联网券商
600276,恒瑞医药,400,42.30,医药生物,2026-02-10,医药龙头
000651,格力电器,600,38.70,家用电器,2026-01-30,白电龙头
000002,万科A,800,22.40,房地产,2026-02-05,地产龙头
600030,中信证券,700,24.90,非银金融,2026-03-01,券商龙头
600900,长江电力,900,23.10,公用事业,2026-01-25,电力龙头
601888,中国中免,300,95.80,休闲服务,2026-03-12,免税龙头
600585,海螺水泥,600,36.50,建筑材料,2026-02-15,水泥龙头
601857,中国石油,1200,7.20,采掘,2026-01-05,能源巨头
601398,工商银行,1500,4.80,银行,2026-01-08,国有大行
