industry_code,industry_name,description
801010,农林牧渔,农业、林业、畜牧业、渔业
801020,采掘,煤炭、有色金属、石油石化等采掘业
801030,化工,基础化工、石油化工、化学制品
801040,钢铁,黑色金属冶炼及压延加工业
801050,有色金属,有色金属冶炼及压延加工业
801060,建筑建材,建筑材料、建筑装饰
801070,机械设备,通用设备、专用设备、仪器仪表
801080,电子,半导体、电子制造、光学光电子
801090,家用电器,白色家电、黑色家电、小家电
801100,食品饮料,食品加工、饮料制造
801110,纺织服装,纺织、服装家纺
801120,轻工制造,造纸、包装印刷、家具
801130,医药生物,化学制药、生物制品、医疗器械
801140,公用事业,电力、燃气、水务
801150,交通运输,航空、铁路、公路、航运
801160,房地产,房地产开发、房地产服务
801170,商业贸易,零售、贸易
801180,休闲服务,旅游、酒店、餐饮
801190,综合,综合类企业
801200,建筑材料,水泥、玻璃、陶瓷等
801210,建筑装饰,装修装饰、园林工程
801230,电气设备,电力设备、新能源设备
801710,计算机,软件开发、IT服务、计算机设备
801720,传媒,出版、影视、游戏、广告
801730,通信,通信设备、通信服务
801740,银行,商业银行、政策性银行
801750,非银金融,保险、证券、信托、多元金融
801760,汽车,整车制造、汽车零部件
801770,国防军工,航空航天、兵器、船舶
801780,机械设备,重复项，已包含在801070
801880,医药生物,重复项，已包含在801130
