日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-01-04,2126.35,2189.63,2193.83,2125.95,3.57,75.47,70921981,135770488832.0,3.21,1.81
2021-01-05,2184.37,2186.39,2191.2,2159.04,-0.15,-3.24,72202642,136090484736.0,1.47,1.84
2021-01-06,2190.65,2142.7,2193.08,2127.38,-2.0,-43.69,68184000,130413957120.0,3.0,1.74
2021-01-07,2138.62,2123.41,2149.12,2104.82,-0.9,-19.29,79067005,146900656128.0,2.07,2.02
2021-01-08,2123.19,2101.64,2123.19,2068.16,-1.03,-21.77,70883156,141811539968.0,2.59,1.81
2021-01-11,2106.45,2037.46,2106.7,2030.71,-3.05,-64.18,77958548,160002154496.0,3.62,1.99
2021-01-12,2027.09,2059.97,2064.36,2025.13,1.1,22.51,62509873,131961286656.0,1.93,1.6
2021-01-13,2062.72,2011.15,2064.71,2002.99,-2.37,-48.82,72420285,156856291328.0,3.0,1.85
2021-01-14,1999.44,1995.06,2011.85,1965.14,-0.8,-16.09,59100214,119354404864.0,2.32,1.51
2021-01-15,1989.73,2037.19,2040.23,1989.23,2.11,42.13,57722486,114054299648.0,2.56,1.47
2021-01-18,2034.95,2075.99,2078.7,2031.4,1.9,38.8,55203049,110607753216.0,2.32,1.41
2021-01-19,2073.96,2069.24,2096.61,2064.18,-0.33,-6.75,59951854,117851508736.0,1.56,1.53
2021-01-20,2072.57,2110.23,2110.23,2071.42,1.98,40.99,56516544,117734600704.0,1.88,1.44
2021-01-21,2110.37,2139.36,2152.21,2102.2,1.38,29.13,68266926,131344433152.0,2.37,1.74
2021-01-22,2137.9,2139.63,2147.36,2116.26,0.01,0.27,68615885,140655263744.0,1.45,1.75
2021-01-25,2143.81,2131.59,2163.96,2117.24,-0.38,-8.04,75730204,170855079936.0,2.18,1.93
2021-01-26,2121.26,2098.01,2138.27,2090.57,-1.58,-33.58,64682148,136079003648.0,2.24,1.65
2021-01-27,2092.35,2105.08,2110.08,2063.47,0.34,7.07,57765120,126421909504.0,2.22,1.48
2021-01-28,2076.06,2060.21,2105.86,2058.24,-2.13,-44.87,55085583,111257767936.0,2.26,1.41
2021-01-29,2071.52,2010.04,2075.65,1980.27,-2.44,-50.17,57462495,121515196416.0,4.63,1.47
2021-02-01,1996.97,2013.27,2023.86,1994.44,0.16,3.23,48994924,101769818112.0,1.46,1.25
2021-02-02,2016.35,2038.16,2039.66,2002.36,1.24,24.89,48782531,115259531264.0,1.85,1.25
2021-02-03,2038.59,2006.13,2042.01,2004.31,-1.57,-32.03,56565018,123169828864.0,1.85,1.45
2021-02-04,1996.74,1941.86,1997.44,1918.85,-3.2,-64.27,56321638,114554294272.0,3.92,1.44
2021-02-05,1941.01,1887.36,1953.23,1886.04,-2.81,-54.5,49390746,107628875776.0,3.46,1.26
2021-02-08,1887.81,1892.25,1904.52,1859.17,0.26,4.89,40271925,92220538880.0,2.4,1.03
2021-02-09,1895.11,1938.04,1943.58,1895.11,2.42,45.79,41100604,92685139968.0,2.56,1.05
2021-02-10,1942.69,1950.42,1954.59,1930.58,0.64,12.38,40802264,93004595200.0,1.24,1.04
2021-02-18,1990.33,1998.78,2003.29,1976.38,2.48,48.36,55143270,126447841280.0,1.38,1.41
2021-02-19,1993.37,2034.38,2034.71,1987.03,1.78,35.6,57262126,108609019904.0,2.39,1.46
2021-02-22,2047.57,2061.47,2103.6,2047.57,1.33,27.09,69179000,130765844480.0,2.75,1.77
2021-02-23,2048.91,2040.23,2059.99,2032.15,-1.03,-21.24,64257784,109959909376.0,1.35,1.64
2021-02-24,2039.27,2027.28,2063.3,2008.85,-0.63,-12.95,59164170,121790296064.0,2.67,1.51
2021-02-25,2044.3,2004.1,2048.6,2000.83,-1.14,-23.18,51801270,95457775616.0,2.36,1.32
2021-02-26,1967.83,1996.39,2010.12,1962.98,-0.38,-7.71,49833119,95479599104.0,2.35,1.27
2021-03-01,2006.56,2062.15,2062.15,2006.56,3.29,65.76,50319176,95877656576.0,2.78,1.29
2021-03-02,2068.38,2047.51,2068.7,2034.35,-0.71,-14.64,56490117,101245358080.0,1.67,1.44
2021-03-03,2043.2,2089.86,2089.86,2040.9,2.07,42.35,52423250,88858374144.0,2.39,1.34
2021-03-04,2078.36,2054.44,2086.79,2048.18,-1.69,-35.42,63011535,107857973248.0,1.85,1.61
2021-03-05,2030.32,2063.87,2072.31,2029.25,0.46,9.43,50036951,86697979904.0,2.1,1.28
2021-03-08,2078.42,2027.59,2091.33,2026.07,-1.76,-36.28,51401352,96551731200.0,3.16,1.31
2021-03-09,2025.4,1973.02,2027.72,1939.32,-2.69,-54.57,60371041,102121496576.0,4.36,1.54
2021-03-10,1996.69,1962.21,2004.28,1959.68,-0.55,-10.81,45707187,84323119104.0,2.26,1.17
2021-03-11,1962.17,2009.15,2009.15,1947.87,2.39,46.94,50065155,84814807040.0,3.12,1.28
2021-03-12,2011.71,2011.23,2016.63,1987.02,0.1,2.08,46494953,84230516736.0,1.47,1.19
2021-03-15,2005.67,2005.31,2023.27,1987.22,-0.29,-5.92,44820024,81203675136.0,1.79,1.15
2021-03-16,2006.43,2015.6,2020.39,1990.33,0.51,10.29,45753152,71982108672.0,1.5,1.17
2021-03-17,2014.53,2046.44,2050.8,2002.87,1.53,30.84,47683832,80153583616.0,2.38,1.22
2021-03-18,2047.27,2044.72,2055.75,2039.54,-0.08,-1.72,46158093,77008728064.0,0.79,1.18
2021-03-19,2020.34,2023.84,2046.52,2013.76,-1.02,-20.88,43553193,73878523904.0,1.6,1.11
2021-03-22,2023.8,2054.38,2054.73,2023.8,1.51,30.54,41375577,70117097472.0,1.53,1.06
2021-03-23,2054.08,2009.67,2054.08,2000.25,-2.18,-44.71,44984727,78041063424.0,2.62,1.15
2021-03-24,1995.51,1975.12,2009.16,1971.08,-1.72,-34.55,40607453,70192390144.0,1.89,1.04
2021-03-25,1967.28,1973.79,1990.25,1956.43,-0.07,-1.33,33442310,59126952960.0,1.71,0.85
2021-03-26,1974.49,2014.61,2016.5,1974.49,2.07,40.82,41203300,78509330432.0,2.13,1.05
2021-03-29,2020.34,2011.29,2024.7,2007.37,-0.16,-3.32,37937151,67015500800.0,0.86,0.97
2021-03-30,2007.96,2000.72,2007.96,1988.31,-0.53,-10.57,37434670,65992428544.0,0.98,0.96
2021-03-31,1999.62,1996.62,2004.45,1982.23,-0.2,-4.1,31659166,58472084224.0,1.11,0.81
2021-04-01,2000.2,2004.49,2006.66,1993.3,0.39,7.87,31586049,55781714432.0,0.67,0.81
2021-04-02,2005.81,2015.3,2017.28,1995.76,0.54,10.81,33615703,58205994496.0,1.07,0.86
2021-04-06,2021.7,2042.13,2042.33,2021.7,1.33,26.83,32779708,55217934848.0,1.02,0.84
2021-04-07,2042.55,2041.86,2042.88,2027.45,-0.01,-0.27,37839022,64984150016.0,0.76,0.97
2021-04-08,2037.39,2027.17,2043.39,2026.95,-0.72,-14.69,41415291,57938702848.0,0.81,1.06
2021-04-09,2026.28,2028.45,2037.87,2020.43,0.06,1.28,36267339,59508147456.0,0.86,0.93
2021-04-12,2027.58,1980.38,2027.71,1974.74,-2.37,-48.07,38080554,68239568128.0,2.61,0.97
2021-04-13,1977.19,1967.39,1987.38,1963.12,-0.66,-12.99,29300726,52222521344.0,1.23,0.75
2021-04-14,1966.02,2012.45,2012.5,1965.82,2.29,45.06,33708675,65592849920.0,2.37,0.86
2021-04-15,2009.99,2006.36,2009.99,1994.42,-0.3,-6.09,35105821,57511640320.0,0.77,0.9
2021-04-16,2006.13,2027.62,2031.78,2004.32,1.06,21.26,34912114,58419986176.0,1.37,0.89
2021-04-19,2028.89,2087.55,2088.69,2027.86,2.96,59.93,48754189,94067884032.0,3.0,1.25
2021-04-20,2083.82,2084.24,2106.1,2081.62,-0.16,-3.31,51378985,94799077376.0,1.17,1.31
2021-04-21,2073.97,2074.72,2082.41,2061.05,-0.46,-9.52,40483078,68467971328.0,1.02,1.03
2021-04-22,2083.77,2086.13,2094.12,2080.25,0.55,11.41,40556868,69252706304.0,0.67,1.04
2021-04-23,2082.63,2086.43,2092.3,2070.63,0.01,0.3,45228024,79213912064.0,1.04,1.16
2021-04-26,2086.74,2078.15,2107.57,2076.36,-0.4,-8.28,51999104,93590310912.0,1.5,1.33
2021-04-27,2073.2,2054.34,2073.57,2034.32,-1.15,-23.81,43526876,70607392768.0,1.89,1.11
2021-04-28,2050.4,2066.64,2073.63,2039.1,0.6,12.3,46395259,84142239744.0,1.68,1.19
2021-04-29,2062.22,2055.57,2066.34,2050.86,-0.54,-11.07,43663470,82567790592.0,0.75,1.12
2021-04-30,2047.99,2058.13,2065.95,2044.98,0.12,2.56,45434742,94881947648.0,1.02,1.16
2021-05-06,2058.81,2074.44,2076.89,2051.29,0.79,16.31,49539615,96160944128.0,1.24,1.27
2021-05-07,2078.53,2061.51,2086.12,2060.74,-0.62,-12.93,57579290,98269577216.0,1.22,1.47
2021-05-10,2064.48,2084.29,2087.33,2057.42,1.11,22.78,59763372,96710434816.0,1.45,1.53
2021-05-11,2071.2,2068.62,2074.02,2042.17,-0.75,-15.67,55174198,87569346560.0,1.53,1.41
2021-05-12,2061.71,2090.38,2090.45,2059.36,1.05,21.76,43316833,73205690368.0,1.5,1.11
2021-05-13,2072.02,2070.91,2093.77,2068.66,-0.93,-19.47,50572375,83323539456.0,1.2,1.29
2021-05-14,2079.82,2109.22,2109.46,2072.14,1.85,38.31,49930191,87768072192.0,1.8,1.28
2021-05-17,2107.73,2106.93,2118.62,2095.07,-0.11,-2.29,53515965,101936672768.0,1.12,1.37
2021-05-18,2101.21,2125.36,2126.92,2098.2,0.87,18.43,48460657,85784711168.0,1.36,1.24
2021-05-19,2123.52,2178.72,2183.41,2121.14,2.51,53.36,58886986,114955354112.0,2.93,1.5
2021-05-20,2171.66,2174.38,2186.22,2164.1,-0.2,-4.34,59732147,110631813120.0,1.02,1.53
2021-05-21,2174.77,2190.22,2198.68,2174.77,0.73,15.84,54608353,100978466816.0,1.1,1.4
2021-05-24,2195.7,2205.59,2215.37,2195.7,0.7,15.37,52298132,100786692096.0,0.9,1.34
2021-05-25,2204.88,2213.91,2214.46,2191.34,0.38,8.32,52407140,101821456384.0,1.05,1.34
2021-05-26,2213.38,2224.52,2230.32,2209.89,0.48,10.61,49103020,91201150976.0,0.92,1.25
2021-05-27,2224.6,2249.1,2250.84,2223.73,1.1,24.58,47247293,86252457984.0,1.22,1.21
2021-05-28,2257.45,2296.74,2310.13,2257.45,2.12,47.64,65410189,136863514624.0,2.34,1.67
2021-05-31,2308.91,2378.51,2378.51,2308.91,3.56,81.77,66747871,141883404288.0,3.03,1.71
2021-06-01,2378.97,2382.49,2387.31,2362.85,0.17,3.98,66816302,132334567424.0,1.03,1.71
2021-06-02,2383.08,2367.57,2403.59,2358.45,-0.63,-14.92,65015613,116187971584.0,1.89,1.66
2021-06-03,2361.24,2372.21,2401.8,2353.93,0.2,4.64,61512394,115552604160.0,2.02,1.57
2021-06-04,2361.65,2433.79,2445.84,2361.53,2.6,61.58,69344604,137953705984.0,3.55,1.77
2021-06-07,2452.33,2455.08,2462.74,2434.85,0.87,21.29,73716465,136938438656.0,1.15,1.88
2021-06-08,2461.0,2445.19,2487.42,2433.16,-0.4,-9.89,69883215,137405554688.0,2.21,1.79
2021-06-09,2448.33,2454.78,2464.63,2437.56,0.39,9.59,64225231,106206445568.0,1.11,1.64
2021-06-10,2457.05,2491.88,2496.91,2453.14,1.51,37.1,66674609,133096747008.0,1.78,1.7
2021-06-11,2488.98,2466.86,2493.03,2466.1,-1.0,-25.02,74305249,144510894080.0,1.08,1.9
2021-06-15,2470.38,2457.05,2479.04,2443.67,-0.4,-9.81,65408865,122160115712.0,1.43,1.67
2021-06-16,2452.12,2388.88,2453.39,2384.38,-2.77,-68.17,66839411,129511313408.0,2.81,1.71
2021-06-17,2385.38,2429.66,2430.42,2385.38,1.71,40.78,59530304,107995033600.0,1.89,1.52
