date,season_judgment,judgment_basis,confidence,index_close,index_change_pct,volume,return_5d,return_10d,return_20d,is_correct,pnl_ratio,max_drawdown_20d
20210104,未知,{'原因': '数据不足，需要60日数据'},0.5,3502.96,0.0,380790799,0.81,2.66,0.07,False,0.0,3.9
20210105,未知,{'原因': '数据不足，需要60日数据'},0.5,3528.68,0.73,407995935,2.26,1.07,0.14,False,0.0,3.9
20210106,未知,{'原因': '数据不足，需要60日数据'},0.5,3550.88,0.63,370230927,1.35,0.91,-0.95,False,0.0,3.9
20210107,未知,{'原因': '数据不足，需要60日数据'},0.5,3576.2,0.71,405348227,-0.29,1.26,-2.08,False,0.0,3.9
20210108,未知,{'原因': '数据不足，需要60日数据'},0.5,3570.11,-0.17,345557896,-0.1,1.03,-2.07,False,0.0,3.9
20210111,未知,{'原因': '数据不足，需要60日数据'},0.5,3531.5,-1.08,362479155,1.83,2.63,0.03,False,0.0,3.9
20210112,未知,{'原因': '数据不足，需要60日数据'},0.5,3608.34,2.18,323406154,-1.16,-1.08,-0.13,False,0.0,3.9
20210113,未知,{'原因': '数据不足，需要60日数据'},0.5,3598.65,-0.27,388127790,-0.43,-0.7,1.57,False,0.0,3.9
20210114,未知,{'原因': '数据不足，需要60日数据'},0.5,3565.9,-0.91,347666819,1.55,-1.7,3.07,False,0.0,3.9
20210115,未知,{'原因': '数据不足，需要60日数据'},0.5,3566.38,0.01,324612744,1.13,-2.34,3.64,False,0.0,3.9
20210118,未知,{'原因': '数据不足，需要60日数据'},0.5,3596.22,0.84,301652564,0.78,-2.53,1.29,False,0.0,3.9
20210119,未知,{'原因': '数据不足，需要60日数据'},0.5,3566.38,-0.83,323439542,0.09,-0.92,1.96,False,0.0,3.9
20210120,未知,{'原因': '数据不足，需要60日数据'},0.5,3583.09,0.47,272271662,-0.27,-1.84,-0.53,False,0.0,3.9
20210121,未知,{'原因': '数据不足，需要60日数据'},0.5,3621.26,1.07,327466995,-3.21,-3.3,-1.0,False,0.0,3.9
20210122,未知,{'原因': '数据不足，需要60日数据'},0.5,3606.75,-0.4,324463084,-3.43,-3.06,-2.71,False,0.0,3.9
20210125,未知,{'原因': '数据不足，需要60日数据'},0.5,3624.24,0.48,327341071,-3.28,-2.53,-2.01,False,0.0,5.06
